Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2009-01-02,30.23392677307129,30.27904222082948,28.8160060273077,28.944908360305757,7117200
2009-01-05,29.698991775512695,30.36927962526912,29.524973957459924,30.227489241328662,11098700
2009-01-06,29.518526077270508,30.16303539100396,29.26716783829173,30.15659137965411,10863400
2009-01-07,28.14572525024414,29.389628630139264,27.84280749406307,29.144716820224073,9026500
2009-01-08,28.37130355834961,28.429309501621212,27.40453947622842,27.668788226997215,9384200
2009-01-09,27.842805862426758,28.397084325683846,27.23052145630304,28.300406934703403,8872300
2009-01-12,26.547332763671875,27.778345223452163,26.186409189248828,27.713895287621607,9583700
2009-01-13,26.682682037353516,26.998490170591676,26.13484773861839,26.495773778069502,9281600
2009-01-14,25.3614444732666,25.99950987531201,24.652485100867967,25.780376576071077,17261700
2009-01-15,25.66111183166504,26.045474871290676,24.29304134357793,25.51127572945608,15448300
2009-01-16,25.765356063842773,26.442878046451945,24.79467777724465,26.442878046451945,12890100
2009-01-20,24.964054107666016,25.817471263835014,24.75558621205934,25.504769420425003,11889900
2009-01-21,25.765356063842773,25.86959002384929,24.5731803015891,25.58294725511478,10287000
2009-01-22,24.25395965576172,25.40704910569786,23.667644629017936,25.3353878003425,19268200
2009-01-23,23.231155395507812,24.253951442547287,22.80770372642134,23.44613923877303,22677400
2009-01-26,21.283283233642578,22.306081863693354,20.65136616339477,21.889143687018578,47390400
2009-01-27,21.055269241333008,21.771877046294843,20.91194668628769,21.65461607459604,20354500
2009-01-28,21.498268127441406,21.830512995952493,21.25071161680336,21.66764732832036,13466700
2009-01-29,20.74908447265625,21.276768841270044,20.605761902553162,21.24419620764643,14575000
2009-01-30,20.097623825073242,20.670910433850416,19.582967714039,20.57319128085693,20956900
2009-02-02,19.732803344726562,20.06504818727447,19.283293789270076,19.60902509908016,16966700
2009-02-03,19.537364959716797,20.21488672030932,19.420101482493752,19.420101482493752,18880200
2009-02-04,19.934762954711914,20.56668145591771,19.674178069810903,19.83052900075151,17419200
2009-02-05,20.592729568481445,20.905431263369444,19.67416756314415,19.771886687475888,17793300
