Price,Close,High,Low,Open,Volume
Ticker,GS,GS,GS,GS,GS
Date,,,,,
2009-01-02,65.00658416748047,65.65095600570518,61.582424848760354,62.953582861290464,14088500
2009-01-05,66.52012634277344,68.14603932257279,64.03255254017978,64.29479564716821,15996700
2009-01-06,66.4676742553711,69.08262232836208,65.72589930100675,67.47169801951974,21551800
2009-01-07,63.31325149536133,65.82330233442767,62.67637377745953,65.11899312806989,12465500
2009-01-08,63.995079040527344,64.82676251441869,61.9495718034708,62.57895512781448,13448100
2009-01-09,62.87865447998047,65.08900150808874,60.24872434845625,64.36970393837083,12192900
2009-01-12,58.19571304321289,62.75876353461691,57.26662122455258,62.459054836719666,15776600
2009-01-13,58.383018493652344,59.10231579370021,55.228597803419504,55.565772164248266,25861100
2009-01-14,56.712188720703125,57.603815199480294,55.033821563005205,56.85454598437351,18336700
2009-01-15,55.318538665771484,57.094302762700984,51.69956756431663,56.2176592933457,25795400
2009-01-16,54.73411178588867,57.31908797668047,52.41137292869052,56.92947054751051,26049300
2009-01-20,44.35671615600586,52.64363060326415,44.30426756556144,52.149110422101636,33123100
2009-01-21,52.37393569946289,52.52378730287733,47.39129271355728,47.49618997924184,38168900
2009-01-22,53.22058868408203,55.213647437175204,49.09960821395751,50.41082927263349,24608200
2009-01-23,56.12774658203125,56.457421072736075,50.29094006907589,50.85289184959377,21924100
2009-01-26,55.59575271606445,59.00492865847477,54.52429790986136,56.98939339312494,18729300
2009-01-27,58.63776779174805,58.929982116114154,56.02281601416129,56.577278946544524,20655300
2009-01-28,65.71092224121094,66.75990051493766,62.46659017517787,63.148422337393626,34234400
2009-01-29,61.97951126098633,64.87917763436705,61.52995115902086,63.785245956879905,21624300
2009-01-30,60.4885139465332,63.52305122390564,59.4545186395936,62.63141891521916,20344900
2009-02-02,62.61642837524414,62.93861436792926,58.87008228191501,59.02742813185838,18485500
2009-02-03,62.04698944091797,63.31325639815177,59.79169294425132,63.163404823442825,19442500
2009-02-04,65.91321563720703,67.3742883615204,62.526515487637184,62.71383279672714,29780400
2009-02-05,69.56963348388672,70.95578014953504,64.63195295161414,65.01407606957262,33847500
2009-02-06,72.35691833496094,72.36441262673571,68.60307846155523,70.63359708082284,26559800
2009-02-09,73.34595489501953,73.92289532804669,70.90333592339339,72.69408869206504,18736400
2009-02-10,67.73387908935547,73.34589901325849,67.20938766653101,72.52170473906632,29857200
2009-02-11,70.9632797241211,71.1356141419581,67.74891442026573,68.74544375067516,19554400
2009-02-12,71.61511993408203,72.079662974732,68.53562442246086,69.4197619173187,22915400
2009-02-13,72.26699829101562,73.41338475053495,70.80592591584774,71.18056044450302,22975200
2009-02-17,64.21986389160156,69.2924196910073,63.53053758403783,69.12757954866153,31078100
2009-02-18,63.31325149536133,65.70342222723791,60.743257744464756,65.70342222723791,32610600
2009-02-19,64.44461059570312,66.58751980463036,64.08495905920833,64.74431925670424,24476100
2009-02-20,63.72666549682617,65.65526936664325,59.71879393195391,61.737797246449006,36146100
2009-02-23,60.321495056152344,66.12236091872337,60.1105553153573,65.1731320851457,22298600
